# Rich high-density colored portrait coordinates
# Format: x y r g b   (r,g,b in 0-1 range)
# Total points: 376217
# Sorted top-to-bottom for sequential assembly
# Image: formal suit portrait
#
0.020703 0.933021 0.1922 0.1765 0.1804
0.024844 0.933021 0.2157 0.2000 0.2039
0.028984 0.933021 0.2235 0.2078 0.2118
0.033125 0.933021 0.2392 0.2235 0.2275
0.037266 0.933021 0.2431 0.2275 0.2235
0.041406 0.933021 0.2118 0.1961 0.1922
0.045547 0.933021 0.2118 0.1961 0.1922
0.049688 0.933021 0.2157 0.2118 0.2039
0.053828 0.933021 0.2039 0.1882 0.1843
0.057969 0.933021 0.1765 0.1608 0.1569
0.062109 0.933021 0.2196 0.1961 0.1961
0.066250 0.933021 0.2314 0.2078 0.2078
0.070391 0.933021 0.2549 0.2196 0.2314
0.074531 0.933021 0.2196 0.1843 0.1961
0.078672 0.933021 0.2078 0.1725 0.1843
0.082813 0.933021 0.1961 0.1608 0.1725
0.086953 0.933021 0.1804 0.1451 0.1569
0.091094 0.933021 0.2000 0.1647 0.1765
0.095234 0.933021 0.2078 0.1725 0.1843
0.099375 0.933021 0.2588 0.2235 0.2353
0.103516 0.933021 0.4353 0.4000 0.4118
0.107656 0.933021 0.6196 0.5961 0.6039
0.111797 0.933021 0.8275 0.8118 0.8157
-0.027604 0.931641 0.8431 0.8275 0.8314
-0.023464 0.931641 0.5686 0.5529 0.5569
-0.019323 0.931641 0.3686 0.3451 0.3529
-0.015182 0.931641 0.2784 0.2549 0.2627
-0.011042 0.931641 0.2039 0.1804 0.1882
-0.006901 0.931641 0.1843 0.1608 0.1686
-0.002760 0.931641 0.1725 0.1490 0.1569
0.001380 0.931641 0.1843 0.1608 0.1686
0.005521 0.931641 0.1725 0.1490 0.1569
0.009661 0.931641 0.2039 0.1804 0.1882
0.013802 0.931641 0.2039 0.1804 0.1882
0.017943 0.931641 0.2078 0.1922 0.1961
0.022083 0.931641 0.2235 0.2078 0.2118
0.026224 0.931641 0.2431 0.2275 0.2314
0.030365 0.931641 0.2392 0.2235 0.2275
0.034505 0.931641 0.2471 0.2314 0.2353
0.038646 0.931641 0.2314 0.2157 0.2118
0.042786 0.931641 0.2314 0.2157 0.2118
