# Medium-density face coordinates (every 2nd point)
# Format: x y  (normalized, origin at image center, Y positive upward)
# Total points: 30892
# Sorted top-to-bottom
#
-0.012339 0.971664
0.003085 0.971664
0.018508 0.971664
0.033931 0.971664
0.049354 0.971664
0.070947 0.971664
0.086370 0.971664
0.101793 0.971664
0.117217 0.971664
0.132640 0.971664
0.157317 0.971664
0.172740 0.971664
0.188164 0.971664
-0.183537 0.970122
-0.168113 0.970122
-0.152690 0.970122
-0.137267 0.970122
-0.121844 0.970122
-0.106420 0.970122
-0.089455 0.970122
-0.074032 0.970122
-0.058608 0.970122
-0.043185 0.970122
-0.027762 0.970122
-0.012339 0.970122
0.003085 0.970122
0.018508 0.970122
0.033931 0.970122
0.057066 0.970122
0.072489 0.970122
0.087912 0.970122
0.103336 0.970122
0.118759 0.970122
0.134182 0.970122
0.149605 0.970122
0.185079 0.970122
-0.191248 0.968580
-0.175825 0.968580
-0.160402 0.968580
-0.144978 0.968580
-0.129555 0.968580
-0.114132 0.968580
-0.098709 0.968580
-0.083286 0.968580
-0.067862 0.968580
-0.052439 0.968580
-0.035473 0.968580
-0.020050 0.968580
-0.004627 0.968580
0.010796 0.968580
0.026220 0.968580
0.041643 0.968580
0.063235 0.968580
0.078659 0.968580
0.094082 0.968580
0.109505 0.968580
0.124928 0.968580
0.140352 0.968580
0.177367 0.968580
0.192791 0.968580
-0.174283 0.967037
-0.158859 0.967037
-0.143436 0.967037
-0.128013 0.967037
-0.103336 0.967037
-0.087912 0.967037
-0.072489 0.967037
-0.057066 0.967037
-0.041643 0.967037
-0.026220 0.967037
-0.010796 0.967037
0.004627 0.967037
0.020050 0.967037
0.035473 0.967037
0.057066 0.967037
0.072489 0.967037
0.087912 0.967037
0.103336 0.967037
0.118759 0.967037
0.134182 0.967037
0.149605 0.967037
0.165029 0.967037
0.194333 0.967037
-0.177367 0.965495
-0.161944 0.965495
-0.146521 0.965495
-0.111047 0.965495
-0.095624 0.965495
-0.080201 0.965495
-0.064778 0.965495
-0.049354 0.965495
-0.033931 0.965495
-0.018508 0.965495
-0.003085 0.965495
0.012339 0.965495
0.027762 0.965495
0.049354 0.965495
0.064778 0.965495
0.080201 0.965495
0.095624 0.965495
0.141894 0.965495
0.157317 0.965495
0.186621 0.965495
0.202044 0.965495
-0.229806 0.963953
-0.214383 0.963953
-0.183537 0.963953
-0.168113 0.963953
-0.152690 0.963953
-0.137267 0.963953
-0.114132 0.963953
-0.098709 0.963953
-0.083286 0.963953
-0.067862 0.963953
-0.052439 0.963953
-0.037016 0.963953
-0.021593 0.963953
-0.006169 0.963953
0.009254 0.963953
0.024677 0.963953
0.046270 0.963953
0.061693 0.963953
0.077116 0.963953
0.112590 0.963953
0.141894 0.963953
0.157317 0.963953
0.172740 0.963953
0.197417 0.963953
0.215925 0.963953
-0.228264 0.962410
-0.212841 0.962410
-0.197417 0.962410
-0.181994 0.962410
-0.166571 0.962410
-0.138809 0.962410
-0.123386 0.962410
-0.107963 0.962410
-0.092539 0.962410
-0.077116 0.962410
-0.061693 0.962410
-0.046270 0.962410
-0.030846 0.962410
-0.015423 0.962410
0.000000 0.962410
0.015423 0.962410
0.032389 0.962410
0.047812 0.962410
0.063235 0.962410
0.078659 0.962410
0.107963 0.962410
0.123386 0.962410
0.138809 0.962410
0.154232 0.962410
0.169656 0.962410
0.185079 0.962410
0.205129 0.962410
0.222095 0.962410
-0.215925 0.960868
-0.200502 0.960868
-0.185079 0.960868
-0.169656 0.960868
-0.138809 0.960868
-0.123386 0.960868
-0.107963 0.960868
-0.092539 0.960868
-0.077116 0.960868
-0.060151 0.960868
-0.044727 0.960868
-0.029304 0.960868
-0.013881 0.960868
0.001542 0.960868
0.021593 0.960868
0.037016 0.960868
0.052439 0.960868
0.067862 0.960868
0.095624 0.960868
0.111047 0.960868
0.126471 0.960868
0.141894 0.960868
0.165029 0.960868
0.180452 0.960868
0.200502 0.960868
0.215925 0.960868
-0.225179 0.959326
-0.209756 0.959326
-0.194333 0.959326
-0.178910 0.959326
-0.152690 0.959326
-0.137267 0.959326
-0.121844 0.959326
-0.106420 0.959326
-0.090997 0.959326
-0.075574 0.959326
-0.060151 0.959326
-0.044727 0.959326
-0.029304 0.959326
-0.013881 0.959326
0.001542 0.959326
0.023135 0.959326
0.038558 0.959326
0.053981 0.959326
0.069405 0.959326
0.098709 0.959326
0.114132 0.959326
0.129555 0.959326
0.144978 0.959326
0.160402 0.959326
0.183537 0.959326
0.198960 0.959326
0.214383 0.959326
0.229806 0.959326
-0.222095 0.957783
-0.206671 0.957783
-0.191248 0.957783
-0.175825 0.957783
-0.146521 0.957783
-0.131098 0.957783
-0.115674 0.957783
-0.100251 0.957783
-0.084828 0.957783
-0.063235 0.957783
-0.047812 0.957783
-0.032389 0.957783
-0.016966 0.957783
-0.001542 0.957783
0.021593 0.957783
0.037016 0.957783
0.052439 0.957783
0.086370 0.957783
0.111047 0.957783
0.126471 0.957783
0.141894 0.957783
0.157317 0.957783
0.181994 0.957783
0.197417 0.957783
0.217468 0.957783
-0.262195 0.956241
-0.246772 0.956241
-0.231349 0.956241
-0.215925 0.956241
-0.200502 0.956241
-0.185079 0.956241
-0.155775 0.956241
-0.140352 0.956241
