# High-density portrait coordinates (removes banding)
# Format: x y
# Total points: 168216
# Sorted top-to-bottom
#
-0.297564 1.055508
-0.286335 1.055508
-0.275106 1.055508
-0.263877 1.055508
-0.252648 1.055508
-0.241419 1.055508
-0.230191 1.055508
-0.218962 1.055508
-0.207733 1.055508
-0.196504 1.055508
-0.185275 1.055508
-0.174047 1.055508
-0.162818 1.055508
-0.151589 1.055508
-0.140360 1.055508
-0.129131 1.055508
-0.117903 1.055508
-0.106674 1.055508
-0.095445 1.055508
-0.084216 1.055508
-0.072987 1.055508
-0.061758 1.055508
-0.050530 1.055508
-0.039301 1.055508
-0.028072 1.055508
-0.016843 1.055508
-0.005614 1.055508
0.005614 1.055508
0.016843 1.055508
0.028072 1.055508
0.039301 1.055508
0.050530 1.055508
0.061758 1.055508
0.072987 1.055508
0.084216 1.055508
0.095445 1.055508
0.106674 1.055508
0.117903 1.055508
0.129131 1.055508
0.140360 1.055508
0.151589 1.055508
0.162818 1.055508
0.174047 1.055508
0.185275 1.055508
0.196504 1.055508
0.207733 1.055508
0.218962 1.055508
0.230191 1.055508
0.241419 1.055508
0.252648 1.055508
0.263877 1.055508
0.275106 1.055508
0.286335 1.055508
0.297564 1.055508
0.308792 1.055508
0.320021 1.055508
0.331250 1.055508
0.342479 1.055508
0.353708 1.055508
0.364936 1.055508
0.376165 1.055508
0.387394 1.055508
0.398623 1.055508
0.409852 1.055508
0.421081 1.055508
0.432309 1.055508
0.443538 1.055508
0.454767 1.055508
0.465996 1.055508
0.477225 1.055508
0.488453 1.055508
0.499682 1.055508
0.510911 1.055508
0.522140 1.055508
0.533369 1.055508
0.544597 1.055508
0.555826 1.055508
0.567055 1.055508
0.578284 1.055508
0.589513 1.055508
0.600742 1.055508
0.611970 1.055508
0.623199 1.055508
0.634428 1.055508
0.645657 1.055508
0.656886 1.055508
0.668114 1.055508
0.679343 1.055508
0.690572 1.055508
0.701801 1.055508
0.713030 1.055508
0.724258 1.055508
0.735487 1.055508
0.746716 1.055508
0.757945 1.055508
0.769174 1.055508
0.780403 1.055508
0.791631 1.055508
0.802860 1.055508
0.814089 1.055508
0.825318 1.055508
0.836547 1.055508
0.847775 1.055508
0.859004 1.055508
0.870233 1.055508
0.881462 1.055508
0.892691 1.055508
0.903919 1.055508
0.915148 1.055508
0.926377 1.055508
0.937606 1.055508
0.948835 1.055508
0.960064 1.055508
0.971292 1.055508
0.982521 1.055508
0.993750 1.055508
-0.995996 1.053263
-0.984767 1.053263
-0.973538 1.053263
-0.962309 1.053263
-0.951081 1.053263
-0.939852 1.053263
-0.928623 1.053263
-0.917394 1.053263
-0.906165 1.053263
-0.894936 1.053263
-0.883708 1.053263
-0.872479 1.053263
-0.861250 1.053263
-0.850021 1.053263
-0.838792 1.053263
-0.827564 1.053263
-0.816335 1.053263
-0.805106 1.053263
-0.793877 1.053263
-0.782648 1.053263
-0.771419 1.053263
-0.760191 1.053263
-0.748962 1.053263
-0.737733 1.053263
-0.726504 1.053263
-0.715275 1.053263
-0.704047 1.053263
-0.692818 1.053263
