# Ultra-dense + color (420544 points)
# Format: x y r g b
#
-0.829809 1.060000 0.0000 0.0000 0.0000
-0.825318 1.060000 0.0000 0.0000 0.0000
-0.820826 1.060000 0.0000 0.0000 0.0000
-0.816335 1.060000 0.0000 0.0000 0.0000
-0.811843 1.060000 0.0000 0.0000 0.0000
-0.807352 1.060000 0.0000 0.0000 0.0000
-0.802860 1.060000 0.0000 0.0000 0.0000
-0.798369 1.060000 0.0000 0.0000 0.0000
-0.793877 1.060000 0.0000 0.0000 0.0000
-0.789386 1.060000 0.0000 0.0000 0.0000
-0.784894 1.060000 0.0000 0.0000 0.0000
-0.780403 1.060000 0.0000 0.0000 0.0000
-0.775911 1.060000 0.0000 0.0000 0.0000
-0.771419 1.060000 0.0000 0.0000 0.0000
-0.766928 1.060000 0.0000 0.0000 0.0000
-0.762436 1.060000 0.0000 0.0000 0.0000
-0.757945 1.060000 0.0000 0.0000 0.0000
-0.753453 1.060000 0.0000 0.0000 0.0000
-0.748962 1.060000 0.0000 0.0000 0.0000
-0.744470 1.060000 0.0000 0.0000 0.0000
-0.739979 1.060000 0.0000 0.0000 0.0000
-0.735487 1.060000 0.0000 0.0000 0.0000
-0.730996 1.060000 0.0000 0.0000 0.0000
-0.726504 1.060000 0.0000 0.0000 0.0000
-0.722013 1.060000 0.0000 0.0000 0.0000
-0.717521 1.060000 0.0000 0.0000 0.0000
-0.713030 1.060000 0.0000 0.0000 0.0000
-0.708538 1.060000 0.0000 0.0000 0.0000
-0.704047 1.060000 0.0000 0.0000 0.0000
-0.699555 1.060000 0.0000 0.0000 0.0000
-0.695064 1.060000 0.0000 0.0000 0.0000
-0.690572 1.060000 0.0000 0.0000 0.0000
-0.686081 1.060000 0.0000 0.0000 0.0000
-0.681589 1.060000 0.0000 0.0000 0.0000
-0.677097 1.060000 0.0000 0.0000 0.0000
-0.672606 1.060000 0.0000 0.0000 0.0000
-0.668114 1.060000 0.0000 0.0000 0.0000
-0.663623 1.060000 0.0000 0.0000 0.0000
-0.659131 1.060000 0.0000 0.0000 0.0000
-0.654640 1.060000 0.0000 0.0000 0.0000
-0.650148 1.060000 0.0000 0.0000 0.0000
-0.645657 1.060000 0.0000 0.0000 0.0000
-0.641165 1.060000 0.0000 0.0000 0.0000
-0.636674 1.060000 0.0000 0.0000 0.0000
-0.632182 1.060000 0.0000 0.0000 0.0000
-0.627691 1.060000 0.0000 0.0000 0.0000
-0.623199 1.060000 0.0000 0.0000 0.0000
-0.618708 1.060000 0.0000 0.0000 0.0000
-0.614216 1.060000 0.0000 0.0000 0.0000
-0.609725 1.060000 0.0000 0.0000 0.0000
-0.605233 1.060000 0.0000 0.0000 0.0000
-0.600742 1.060000 0.0000 0.0000 0.0000
-0.596250 1.060000 0.0000 0.0000 0.0000
-0.591758 1.060000 0.0000 0.0000 0.0000
-0.587267 1.060000 0.0000 0.0000 0.0000
-0.582775 1.060000 0.0000 0.0000 0.0000
-0.578284 1.060000 0.0000 0.0000 0.0000
-0.573792 1.060000 0.0000 0.0000 0.0000
-0.569301 1.060000 0.0000 0.0000 0.0000
-0.564809 1.060000 0.0000 0.0000 0.0000
-0.560318 1.060000 0.0000 0.0000 0.0000
-0.555826 1.060000 0.0000 0.0000 0.0000
-0.551335 1.060000 0.0000 0.0000 0.0000
-0.546843 1.060000 0.0000 0.0000 0.0000
-0.542352 1.060000 0.0000 0.0000 0.0000
-0.537860 1.060000 0.0000 0.0000 0.0000
-0.533369 1.060000 0.0000 0.0000 0.0000
-0.528877 1.060000 0.0000 0.0000 0.0000
-0.524386 1.060000 0.0000 0.0000 0.0000
-0.519894 1.060000 0.0000 0.0000 0.0000
-0.515403 1.060000 0.0000 0.0000 0.0000
-0.510911 1.060000 0.0000 0.0000 0.0000
-0.506419 1.060000 0.0000 0.0000 0.0000
-0.501928 1.060000 0.0000 0.0000 0.0000
-0.497436 1.060000 0.0000 0.0000 0.0000
-0.492945 1.060000 0.0000 0.0000 0.0000
